,predictions,Est. Total consumption (GWh),difference
2018-03-01,290.018,292.441,-2.423000000000002
2018-04-01,305.171,347.202,-42.031000000000006
2018-05-01,375.104,378.77,-3.665999999999997
2018-06-01,422.194,466.381,-44.186999999999955
2018-07-01,470.262,486.733,-16.471000000000004
2018-08-01,435.18,453.339,-18.158999999999992
2018-09-01,382.047,395.636,-13.588999999999999
2018-10-01,347.063,344.112,2.950999999999965
2018-11-01,303.457,309.218,-5.761000000000024
2018-12-01,281.443,295.682,-14.239000000000033
2019-01-01,282.5,285.059,-2.559000000000026
2019-02-01,264.517,258.894,5.6229999999999905
2019-03-01,292.441,311.602,-19.161
2019-04-01,347.202,310.396,36.80599999999998
2019-05-01,378.77,366.886,11.883999999999958
2019-06-01,466.381,436.365,30.015999999999963
2019-07-01,486.733,466.83,19.90300000000002
2019-08-01,453.339,472.046,-18.706999999999994
2019-09-01,395.636,403.778,-8.141999999999996
2019-10-01,344.112,364.419,-20.30699999999996
2019-11-01,309.218,306.875,2.3430000000000177
2019-12-01,295.682,295.862,-0.18000000000000682
2020-01-01,285.059,288.745,-3.6859999999999786
2020-02-01,258.894,270.382,-11.488
2020-03-01,311.602,308.668,2.933999999999969
2020-04-01,310.396,345.171,-34.77499999999998
2020-05-01,366.886,409.591,-42.704999999999984
2020-06-01,436.365,435.313,1.052000000000021
2020-07-01,466.83,501.432,-34.60200000000003
2020-08-01,472.046,480.708,-8.662000000000035
2020-09-01,403.778,413.518,-9.739999999999952
2020-10-01,364.419,347.223,17.19599999999997
2020-11-01,306.875,307.031,-0.1560000000000059
2020-12-01,295.862,303.72,-7.858000000000004
2021-01-01,288.745,294.164,-5.418999999999983
2021-02-01,270.382,271.243,-0.86099999999999
2021-03-01,308.668,306.209,2.459000000000003
2021-04-01,345.171,317.624,27.54699999999997
2021-05-01,409.591,401.719,7.872000000000014
2021-06-01,435.313,439.96,-4.646999999999991
2021-07-01,501.432,511.798,-10.365999999999985
2021-08-01,480.708,501.07,-20.361999999999966
2021-09-01,413.518,444.796,-31.27800000000002
2021-10-01,347.223,385.982,-38.759000000000015
2021-11-01,307.031,328.184,-21.15300000000002
2021-12-01,303.72,319.988,-16.267999999999972
2022-01-01,294.164,307.185,-13.021000000000015
2022-02-01,271.243,292.317,-21.074000000000012
2022-03-01,306.209,315.242,-9.033000000000015
2022-04-01,317.624,317.982,-0.3580000000000041
2022-05-01,401.719,389.53,12.189000000000021
2022-06-01,439.96,452.492,-12.532000000000039
2022-07-01,511.798,492.025,19.773000000000025
2022-08-01,501.07,469.325,31.745000000000005
2022-09-01,444.796,416.435,28.36099999999999
2022-10-01,385.982,377.98,8.00200000000001
2022-11-01,328.184,327.579,0.6050000000000182
2022-12-01,319.988,328.478,-8.490000000000009
2023-01-01,307.185,326.534,-19.34899999999999
2023-02-01,292.317,298.579,-6.2620000000000005
2023-03-01,315.242,329.91,-14.668000000000006
2023-04-01,317.982,338.601,-20.61899999999997
2023-05-01,389.53,414.04,-24.510000000000048
2023-06-01,452.492,488.037,-35.54499999999996
2023-07-01,492.025,521.402,-29.377000000000066
2023-08-01,469.325,541.62,-72.29500000000002
2023-09-01,416.435,420.878,-4.442999999999984
2023-10-01,377.98,395.533,-17.552999999999997
2023-11-01,327.579,337.296,-9.716999999999985
2023-12-01,328.478,339.029,-10.550999999999988
2024-01-01,326.534,338.464,-11.930000000000007
2024-02-01,298.579,311.724,-13.144999999999982
2024-03-01,329.91,337.73,-7.819999999999993
2024-04-01,338.601,348.859,-10.257999999999981
2024-05-01,414.04,452.473,-38.43299999999999
2024-06-01,488.037,450.966,37.07099999999997
