"Date","Count"
2008-07-31,333243
2008-08-31,333876
2008-09-30,334977
2008-10-31,341139
2008-11-30,335349
2008-12-31,310359
2009-01-31,332919
2009-02-28,356160
2009-03-31,357468
2009-04-30,352281
2009-05-31,348468
2009-06-30,341706
2009-07-31,346305
2009-08-31,346128
2009-09-30,348540
2009-10-31,354324
2009-11-30,346089
2009-12-31,320502
2010-01-31,343359
2010-02-28,359247
2010-03-31,358956
2010-04-30,352014
2010-05-31,342921
2010-06-30,332199
2010-07-31,337575
2010-08-31,336768
2010-09-30,336801
2010-10-31,341100
2010-11-30,334320
2010-12-31,307785
2011-01-31,328107
2011-02-28,350193
2011-03-31,350550
2011-04-30,343497
2011-05-31,338634
2011-06-30,330513
2011-07-31,331128
2011-08-31,334200
2011-09-30,338103
2011-10-31,341349
2011-11-30,333111
2011-12-31,305490
2012-01-31,327234
2012-02-29,348795
2012-03-31,348978
2012-04-30,345132
2012-05-31,338445
2012-06-30,327570
2012-07-31,332007
2012-08-31,331212
2012-09-30,332901
2012-10-31,338250
2012-11-30,331368
2012-12-31,304098
2013-01-31,326523
2013-02-28,344832
2013-03-31,344688
2013-04-30,340557
2013-05-31,336054
2013-06-30,329109
2013-07-31,330579
2013-08-31,332352
2013-09-30,334659
2013-10-31,340776
2013-11-30,336423
2013-12-31,310623
2014-01-31,332613
2014-02-28,354378
2014-03-31,357255
2014-04-30,350910
2014-05-31,345366
2014-06-30,338466
2014-07-31,342027
2014-08-31,345408
2014-09-30,350238
2014-10-31,359517
2014-11-30,356826
2014-12-31,329142
2015-01-31,358518
2015-02-28,375738
2015-03-31,379086
2015-04-30,375402
2015-05-31,367029
2015-06-30,358605
2015-07-31,363951
2015-08-31,367929
2015-09-30,372912
2015-10-31,383955
2015-11-30,382338
2015-12-31,352440
2016-01-31,383226
2016-02-29,407901
2016-03-31,409605
2016-04-30,404580
2016-05-31,399315
2016-06-30,389322
2016-07-31,394644
2016-08-31,398334
2016-09-30,403812
2016-10-31,414975
2016-11-30,413208
2016-12-31,377334
2017-01-31,408819
2017-02-28,438534
2017-03-31,442578
2017-04-30,434883
2017-05-31,427035
2017-06-30,415686
2017-07-31,421275
2017-08-31,423951
2017-09-30,426480
2017-10-31,436503
2017-11-30,432957
2017-12-31,391038
2018-01-31,434373
2018-02-28,455532
2018-03-31,456534
2018-04-30,452442
2018-05-31,445317
2018-06-30,431034
2018-07-31,440742
2018-08-31,442935
2018-09-30,446940
2018-10-31,458286
2018-11-30,453405
2018-12-31,408816
2019-01-31,448263
2019-02-28,476634
2019-03-31,481098
2019-04-30,473442
2019-05-31,465174
2019-06-30,453165
2019-07-31,460911
2019-08-31,464226
2019-09-30,465894
2019-10-31,475527
2019-11-30,471006
2019-12-31,425163
2020-01-31,465684
2020-02-29,492948
2020-03-31,494706
2020-04-30,483933
2020-05-31,479382
2020-06-30,474321
2020-07-31,465216
2020-08-31,459252
2020-09-30,451569
2020-10-31,444870
2020-11-30,438759
2020-12-31,432393
2021-01-31,430056
2021-02-28,428331
2021-03-31,424713
2021-04-30,420006
2021-05-31,414600
2021-06-30,409680
2021-07-31,405444
2021-08-31,401472
2021-09-30,396762
2021-10-31,392748
2021-11-30,390723
2021-12-31,385173
2022-01-31,382608
2022-02-28,380532
2022-03-31,377646
2022-04-30,373332
2022-05-31,370416
2022-06-30,365625
2022-07-31,363147
2022-08-31,366960
2022-09-30,373959
2022-10-31,380367
2022-11-30,389220
2022-12-31,374736
2023-01-31,404499
2023-02-28,438672
2023-03-31,465816
2023-04-30,476628
2023-05-31,486516
2023-06-30,491658
2023-07-31,508287
2023-08-31,522939
2023-09-30,533499
2023-10-31,549273
2023-11-30,552138
2023-12-31,523083
2024-01-31,559773
2024-02-29,586782
2024-03-31,595638
2024-04-30,598620
2024-05-31,593892
2024-06-30,585732
2024-07-31,596007
