,UNI,CNI,LNI,USI,LSI
1/03/2020,red,red,red,red,red
1/04/2020,red,red,red,red,red
1/05/2020,orange,orange,orange,orange,orange
1/06/2020,yellow,yellow,yellow,yellow,yellow
1/07/2020,yellow,yellow,yellow,yellow,yellow
1/08/2020,orange,yellow,yellow,yellow,yellow
1/09/2020,yellow,yellow,yellow,yellow,yellow
1/10/2020,yellow,yellow,yellow,yellow,yellow
1/11/2020,yellow,yellow,yellow,yellow,yellow
1/12/2020,yellow,yellow,yellow,yellow,yellow
1/01/2021,yellow,yellow,yellow,yellow,yellow
1/02/2021,orange,yellow,yellow,yellow,yellow
1/03/2021,orange,yellow,yellow,yellow,yellow
1/04/2021,yellow,yellow,yellow,yellow,yellow
1/05/2021,yellow,yellow,yellow,yellow,yellow
1/06/2021,yellow,yellow,yellow,yellow,yellow
1/07/2021,yellow,yellow,yellow,yellow,yellow
1/08/2021,red,red,red,red,red
1/09/2021,red,yellow,yellow,yellow,yellow
1/10/2021,orange,orange,yellow,yellow,yellow
1/11/2021,orange,orange,yellow,yellow,yellow
1/12/2021,red,red,orange,orange,orange
1/01/2022,red,red,red,red,red
1/02/2022,red,red,red,red,red
1/03/2022,red,red,red,red,red
1/04/2022,red,red,red,red,red
1/05/2022,orange,orange,orange,orange,orange
1/06/2022,orange,orange,orange,orange,orange
1/07/2022,orange,orange,orange,orange,orange
1/08/2022,orange,orange,orange,orange,orange
1/09/2022,orange,orange,orange,orange,orange
